input,prediction,score
खेलकुदले हाम्रो शरीरलाई [MASK] बनाउँछ।,खेलकुद ##ले हाम्रो शरीर ##लाई स्वस्थ बनाउँछ ।,0.161185622215271
खेलकुदले हाम्रो शरीरलाई [MASK] बनाउँछ।,खेलकुद ##ले हाम्रो शरीर ##लाई राम्रो बनाउँछ ।,0.04499098286032677
खेलकुदले हाम्रो शरीरलाई [MASK] बनाउँछ।,खेलकुद ##ले हाम्रो शरीर ##लाई सुदृढ बनाउँछ ।,0.029472511261701584
खेलकुदले हाम्रो शरीरलाई [MASK] बनाउँछ।,खेलकुद ##ले हाम्रो शरीर ##लाई स्वस्थ्य बनाउँछ ।,0.024975858628749847
नेपालको झण्डामा [MASK] रङ छ।,नेपालको झण्ड ##ाम ##ा कालो रङ छ ।,0.13496889173984528
नेपालको झण्डामा [MASK] रङ छ।,नेपालको झण्ड ##ाम ##ा हरियो रङ छ ।,0.12545953691005707
नेपालको झण्डामा [MASK] रङ छ।,नेपालको झण्ड ##ाम ##ा सेतो रङ छ ।,0.0615340992808342
नेपालको झण्डामा [MASK] रङ छ।,नेपालको झण्ड ##ाम ##ा रातो रङ छ ।,0.0526762381196022
नेपालको झण्डामा [MASK] रङ छ।,नेपालको झण्ड ##ाम ##ा एउटै रङ छ ।,0.05094544589519501
म यस गीतलाई [MASK] मन पराउँछु।,म यस गीत ##लाई निकै मन परा ##उँछु ।,0.4349798560142517
म यस गीतलाई [MASK] मन पराउँछु।,म यस गीत ##लाई धेरै मन परा ##उँछु ।,0.177570641040802
म यस गीतलाई [MASK] मन पराउँछु।,म यस गीत ##लाई पनि मन परा ##उँछु ।,0.10982731729745865
म यस गीतलाई [MASK] मन पराउँछु।,म यस गीत ##लाई अत्यन्त मन परा ##उँछु ।,0.05787084624171257
म यस गीतलाई [MASK] मन पराउँछु।,म यस गीत ##लाई विशेष मन परा ##उँछु ।,0.027334947139024734
यो काम गर्न [MASK] समय लाग्छ।,यो काम गर्न धेरै समय लाग्छ ।,0.2979891300201416
यो काम गर्न [MASK] समय लाग्छ।,यो काम गर्न केही समय लाग्छ ।,0.21311479806900024
यो काम गर्न [MASK] समय लाग्छ।,यो काम गर्न निकै समय लाग्छ ।,0.16611585021018982
यो काम गर्न [MASK] समय लाग्छ।,यो काम गर्न लामो समय लाग्छ ।,0.14000582695007324
यो काम गर्न [MASK] समय लाग्छ।,यो काम गर्न कति समय लाग्छ ।,0.03284713253378868
यो ठाउँमा [MASK] हरियाली छ।,यो ठाउँमा निकै हरियाली छ ।,0.24120061099529266
यो ठाउँमा [MASK] हरियाली छ।,यो ठाउँमा धेरै हरियाली छ ।,0.10502041131258011
यो ठाउँमा [MASK] हरियाली छ।,यो ठाउँमा प्रशस्त हरियाली छ ।,0.08712910115718842
यो ठाउँमा [MASK] हरियाली छ।,यो ठाउँमा पनि हरियाली छ ।,0.07135413587093353
यो ठाउँमा [MASK] हरियाली छ।,यो ठाउँमा अहिले हरियाली छ ।,0.060061682015657425
